benign.location_x,forward.location_x,reverse.location_x
70.85161590576172,-47.61882781982422,-89.46903991699219
71.15165710449219,-47.37281036376953,-89.74585723876953
71.4688491821289,-47.09078598022461,-89.97215270996094
71.79286193847656,-46.79854965209961,-90.1812515258789
72.18411254882812,-46.48122787475586,-90.40465545654297
72.49262237548828,-46.18627166748047,-90.62934112548828
72.79193878173828,-45.87348937988281,-90.86312103271484
73.12841796875,-45.4684944152832,-91.09493255615234
73.43451690673828,-45.056884765625,-91.35855865478516
73.84366607666016,-44.13987731933594,-91.60663604736328
74.63832092285156,-43.689300537109375,-91.8672866821289
75.27635955810547,-43.2913818359375,-92.15201568603516
75.93876647949219,-42.89832305908203,-92.44550323486328
76.24266815185547,-42.59014892578125,-92.76075744628906
76.54484558105469,-42.232994079589844,-93.11067962646484
76.83113861083984,-41.856971740722656,-93.48995208740234
77.11099243164062,-41.51267623901367,-93.91519165039062
77.47775268554688,-41.19719314575195,-94.35011291503906
77.7446060180664,-40.871768951416016,-94.791259765625
78.04547882080078,-40.541141510009766,-95.19208526611328
78.33795166015625,-40.20246887207031,-95.58580017089844
78.6386947631836,-39.816551208496094,-96.02188110351562
78.93701171875,-39.415409088134766,-96.41630554199219
79.62165832519531,-39.01808547973633,-96.82229614257812
80.01828002929688,-38.61434555053711,-97.21500396728516
80.30156707763672,-38.17790603637695,-97.63255310058594
80.90968322753906,-37.82294464111328,-98.0406494140625
81.31338500976562,-37.410335540771484,-98.46798706054688
81.67046356201172,-36.96099853515625,-98.89622497558594
81.9975357055664,-36.59284973144531,-99.3328857421875
82.307373046875,-36.19358825683594,-99.79066467285156
82.72223663330078,-35.79669189453125,-100.33775329589844
83.04659271240234,-35.39753723144531,-100.90521240234375
